cancer_group	molecular_subtype	n
Ependymoma	EPN, To be classified	280
Ewing sarcoma	EWS	100
Extraventricular neurocytoma	EVN	8
Ganglioglioma	GNG, BRAF V600E	80
Ganglioglioma	GNG, BRAF V600E, CDKN2A/B	6
Ganglioglioma	GNG, FGFR	11
Ganglioglioma	GNG, H3	6
Ganglioglioma	GNG, IDH	7
Ganglioglioma	GNG, KIAA1549-BRAF	31
Ganglioglioma	GNG, MAPK	6
Ganglioglioma	GNG, MYB/MYBL1	5
Ganglioglioma	GNG, NF1-germline	3
Ganglioglioma	GNG, NF1-somatic, BRAF V600E	2
Ganglioglioma	GNG, RTK	26
Ganglioglioma	GNG, RTK, BRAF V600E	5
Ganglioglioma	GNG, RTK, FGFR	3
Ganglioglioma	GNG, To be classified	33
Ganglioglioma	GNG, other MAPK	23
Ganglioglioma	GNG, other MAPK, BRAF V600E	3
Ganglioglioma	GNG, other MAPK, IDH	5
Ganglioglioma	GNG, wildtype	56
Ganglioneuroblastoma	NBL, MYCN amplified	41
Ganglioneuroblastoma	NBL, MYCN non-amplified	100
Ganglioneuroblastoma	NBL, To be classified	58
Ganglioneuroma	NBL, To be classified	4
Glial-neuronal tumor NOS	GNT, BRAF V600E	15
Glial-neuronal tumor NOS	GNT, FGFR	31
Glial-neuronal tumor NOS	GNT, H3	2
Glial-neuronal tumor NOS	GNT, KIAA1549-BRAF	6
Glial-neuronal tumor NOS	GNT, NF1-somatic	2
Glial-neuronal tumor NOS	GNT, NF1-somatic, FGFR	1
Glial-neuronal tumor NOS	GNT, NF1-somatic, NF1-germline	1
Glial-neuronal tumor NOS	GNT, RTK	12
Glial-neuronal tumor NOS	GNT, RTK, CDKN2A/B	8
Glial-neuronal tumor NOS	GNT, To be classified	23
Glial-neuronal tumor NOS	GNT, other MAPK	14
Glial-neuronal tumor NOS	GNT, other MAPK, CDKN2A/B	3
Glial-neuronal tumor NOS	GNT, wildtype	20
High-grade glioma	HGG, H3 wildtype	499
High-grade glioma	HGG, H3 wildtype, TP53	272
High-grade glioma	HGG, IDH	4
High-grade glioma	HGG, IDH, TP53	57
High-grade glioma	HGG, To be classified	169
High-grade glioma	HGG, To be classified, TP53	1
Infant-type hemispheric glioma	IHG, ALK-altered	5
Infant-type hemispheric glioma	IHG, NTRK-altered	25
Infant-type hemispheric glioma	IHG, NTRK-altered, TP53	5
Infant-type hemispheric glioma	IHG, ROS1-altered	15
Infant-type hemispheric glioma	IHG, ROS1-altered, TP53	3
Infant-type hemispheric glioma	IHG, To be classified	2
Low-grade glioma	LGG, BRAF V600E	138
Low-grade glioma	LGG, BRAF V600E, CDKN2A/B	33
Low-grade glioma	LGG, BRAF V600E, other MAPK	8
Low-grade glioma	LGG, BRAF/MAPK	19
Low-grade glioma	LGG, CDKN2A/B	2
Low-grade glioma	LGG, FGFR	43
Low-grade glioma	LGG, FGFR, NF1-germline	5
Low-grade glioma	LGG, FGFR, NF1-somatic	4
Low-grade glioma	LGG, IDH	30
Low-grade glioma	LGG, KIAA1549-BRAF	757
Low-grade glioma	LGG, KIAA1549-BRAF, BRAF V600E	4
Low-grade glioma	LGG, KIAA1549-BRAF, CDKN2A/B	2
Low-grade glioma	LGG, KIAA1549-BRAF, FGFR	6
Low-grade glioma	LGG, KIAA1549-BRAF, RTK	21
Low-grade glioma	LGG, KIAA1549-BRAF, other MAPK	15
Low-grade glioma	LGG, MAPK	10
Low-grade glioma	LGG, MYB/MYBL1	23
Low-grade glioma	LGG, NF1-germline	32
Low-grade glioma	LGG, NF1-germline, BRAF V600E	1
Low-grade glioma	LGG, NF1-germline, CDKN2A/B	10
Low-grade glioma	LGG, NF1-germline, FGFR	9
Low-grade glioma	LGG, NF1-germline, RTK, FGFR	2
Low-grade glioma	LGG, NF1-germline, other MAPK	2
Low-grade glioma	LGG, NF1-somatic	13
Low-grade glioma	LGG, NF1-somatic, FGFR	24
Low-grade glioma	LGG, NF1-somatic, IDH	2
Low-grade glioma	LGG, NF1-somatic, NF1-germline	18
Low-grade glioma	LGG, NF1-somatic, NF1-germline, CDKN2A/B	3
Low-grade glioma	LGG, NF1-somatic, NF1-germline, FGFR	6
Low-grade glioma	LGG, NF1-somatic, RTK	1
Low-grade glioma	LGG, RTK	62
Low-grade glioma	LGG, RTK, BRAF V600E	5
Low-grade glioma	LGG, RTK, CDKN2A/B	6
Low-grade glioma	LGG, To be classified	87
Low-grade glioma	LGG, other MAPK	94
Low-grade glioma	LGG, other MAPK, CDKN2A/B	2
Low-grade glioma	LGG, other MAPK, H3	3
Low-grade glioma	LGG, other MAPK, IDH	2
Low-grade glioma	LGG, wildtype	160
Low-grade glioma	SEGA, RTK	4
Low-grade glioma	SEGA, wildtype	6
Medulloblastoma	MB, Group3	222
Medulloblastoma	MB, Group4	340
Medulloblastoma	MB, SHH	250
Medulloblastoma	MB, To be classified	101
Medulloblastoma	MB, WNT	77
Neuroblastoma	NBL, MYCN amplified	478
Neuroblastoma	NBL, MYCN non-amplified	514
Neuroblastoma	NBL, To be classified	608
Pilocytic astrocytoma	LGG, To be classified	106
Pineoblastoma	PB, Group 1	21
Pineoblastoma	PB, Group 2	9
Pineoblastoma	PB, MYC/FOXR2	10
Pineoblastoma	PB, To be classified	27
Pleomorphic xanthoastrocytoma	HGG, PXA	13
Pleomorphic xanthoastrocytoma	LGG, BRAF V600E	3
Pleomorphic xanthoastrocytoma	LGG, To be classified	9
Rosette-forming glioneuronal tumor	GNT, FGFR	5
Rosette-forming glioneuronal tumor	GNT, other MAPK, FGFR	3
Subependymal Giant Cell Astrocytoma	SEGA, To be classified	29
Subependymal Giant Cell Astrocytoma	SEGA, wildtype	15
