match_id	MYCN_TPM	MYCN_CN	MYCN_CN_status	molecular_subtype	Kids_First_Participant_ID	Kids_First_Biospecimen_ID	sample_id
PAIMDT_01_Solid Tissue_Primary Tumor	NA	2	neutral	NBL, MYCN non-amplified	PAIMDT	TARGET-30-PAIMDT-01A-01W	01
PAINLN_01_Solid Tissue_Primary Tumor	NA	3	gain	NBL, MYCN non-amplified	PAINLN	TARGET-30-PAINLN-01A-01W	01
PAIPGU_01_Solid Tissue_Primary Tumor	17.57	3	gain	NBL, MYCN non-amplified	PAIPGU	TARGET-30-PAIPGU-01A-01D.M	01
PAIPGU_01_Solid Tissue_Primary Tumor	17.57	3	gain	NBL, MYCN non-amplified	PAIPGU	TARGET-30-PAIPGU-01A-01R	01
PAIPGU_01_Solid Tissue_Primary Tumor	17.57	3	gain	NBL, MYCN non-amplified	PAIPGU	TARGET-30-PAIPGU-01A-01W	01
PAISNS_01_Solid Tissue_Primary Tumor	35.59	NA	NA	NBL, MYCN amplified	PAISNS	TARGET-30-PAISNS-01A-01D.M	01
PAISNS_01_Solid Tissue_Primary Tumor	35.59	NA	NA	NBL, MYCN amplified	PAISNS	TARGET-30-PAISNS-01A-01R	01
PAISSH_01_Solid Tissue_Primary Tumor	NA	30	amplification	NBL, MYCN amplified	PAISSH	TARGET-30-PAISSH-01A-01W	01
PAITCI_01_Solid Tissue_Primary Tumor	17.43	2	loss	NBL, MYCN non-amplified	PAITCI	TARGET-30-PAITCI-01A-01D.M	01
PAITCI_01_Solid Tissue_Primary Tumor	17.43	2	loss	NBL, MYCN non-amplified	PAITCI	TARGET-30-PAITCI-01A-01R	01
PAITCI_01_Solid Tissue_Primary Tumor	17.43	2	loss	NBL, MYCN non-amplified	PAITCI	TARGET-30-PAITCI-01A-01W	01
PAITEG_01_Solid Tissue_Primary Tumor	1.24	2	neutral	NBL, MYCN non-amplified	PAITEG	TARGET-30-PAITEG-01A-01R	01
PAITEG_01_Solid Tissue_Primary Tumor	1.24	2	neutral	NBL, MYCN non-amplified	PAITEG	TARGET-30-PAITEG-01A-01W	01
PAIVHE_01_Solid Tissue_Primary Tumor	39.72	2	loss	NBL, MYCN non-amplified	PAIVHE	TARGET-30-PAIVHE-01A-01D.M	01
PAIVHE_01_Solid Tissue_Primary Tumor	39.72	2	loss	NBL, MYCN non-amplified	PAIVHE	TARGET-30-PAIVHE-01A-01R	01
PAIVHE_01_Solid Tissue_Primary Tumor	39.72	2	loss	NBL, MYCN non-amplified	PAIVHE	TARGET-30-PAIVHE-01A-01W	01
PAIVMJ_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAIVMJ	TARGET-30-PAIVMJ-01A-01D.M	01
PAIVZR_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAIVZR	TARGET-30-PAIVZR-01A-01D.M	01
PAIWRB_01_Solid Tissue_Primary Tumor	NA	225	amplification	NBL, MYCN amplified	PAIWRB	TARGET-30-PAIWRB-01A-01D	01
PAIXFZ_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAIXFZ	TARGET-30-PAIXFZ-01A-01D.M	01
PAIXIF_01_Solid Tissue_Primary Tumor	NA	3	gain	NBL, MYCN non-amplified	PAIXIF	TARGET-30-PAIXIF-01A-01W	01
PAIXNC_01_Solid Tissue_Primary Tumor	NA	3	gain	NBL, MYCN non-amplified	PAIXNC	TARGET-30-PAIXNC-01A-01W	01
PAIXNV_01_Solid Tissue_Primary Tumor	NA	2	neutral	NBL, MYCN non-amplified	PAIXNV	TARGET-30-PAIXNV-01A-01W	01
PAIXRK_01_Solid Tissue_Primary Tumor	NA	66	amplification	NBL, MYCN amplified	PAIXRK	TARGET-30-PAIXRK-01A-01W	01
PAKFUY_01_Solid Tissue_Primary Tumor	NA	3	gain	NBL, MYCN non-amplified	PAKFUY	TARGET-30-PAKFUY-01A-01W	01
PAKGCI_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAKGCI	TARGET-30-PAKGCI-01A-01D.M	01
PAKGKH_01_Solid Tissue_Primary Tumor	NA	3	neutral	NBL, MYCN non-amplified	PAKGKH	TARGET-30-PAKGKH-01A-01W	01
PAKHAV_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAKHAV	TARGET-30-PAKHAV-01A-01D.M	01
PAKHCF_01_Solid Tissue_Primary Tumor	NA	3	gain	NBL, MYCN non-amplified	PAKHCF	TARGET-30-PAKHCF-01A-01W	01
PAKHHB_01_Solid Tissue_Primary Tumor	NA	84	amplification	NBL, MYCN amplified	PAKHHB	TARGET-30-PAKHHB-01A-01W	01
PAKINP_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAKINP	TARGET-30-PAKINP-01A-01D.M	01
PAKIPY_01_Solid Tissue_Primary Tumor	NA	2	neutral	NBL, MYCN non-amplified	PAKIPY	TARGET-30-PAKIPY-01A-01W	01
PAKJRE_01_Solid Tissue_Primary Tumor	NA	2	neutral	NBL, MYCN non-amplified	PAKJRE	TARGET-30-PAKJRE-01A-01W	01
PAKVUY_01_Solid Tissue_Primary Tumor	NA	2	neutral	NBL, To be classified	PAKVUY	TARGET-30-PAKVUY-01A-01D	01
PAKXDZ_01_Solid Tissue_Primary Tumor	NA	37	amplification	NBL, MYCN amplified	PAKXDZ	TARGET-30-PAKXDZ-01A-01W	01
PAKYZS_01_Solid Tissue_Primary Tumor	9.23	2	neutral	NBL, MYCN non-amplified	PAKYZS	TARGET-30-PAKYZS-01A-01D.M	01
PAKYZS_01_Solid Tissue_Primary Tumor	9.23	2	neutral	NBL, MYCN non-amplified	PAKYZS	TARGET-30-PAKYZS-01A-01R	01
PAKYZS_01_Solid Tissue_Primary Tumor	9.23	2	neutral	NBL, MYCN non-amplified	PAKYZS	TARGET-30-PAKYZS-01A-01W	01
PAKZRE_01_Solid Tissue_Primary Tumor	NA	43	amplification	NBL, MYCN amplified	PAKZRE	TARGET-30-PAKZRE-01A-01W	01
PAKZRF_01_Solid Tissue_Primary Tumor	NA	3	loss	NBL, To be classified	PAKZRF	TARGET-30-PAKZRF-01A-01W	01
PAKZRH_01_Solid Tissue_Primary Tumor	19.5	NA	NA	NBL, MYCN amplified	PAKZRH	TARGET-30-PAKZRH-01A-01D.M	01
PAKZRH_01_Solid Tissue_Primary Tumor	19.5	NA	NA	NBL, MYCN amplified	PAKZRH	TARGET-30-PAKZRH-01A-01R	01
PALAKE_01_Solid Tissue_Primary Tumor	NA	115	amplification	NBL, MYCN amplified	PALAKE	TARGET-30-PALAKE-01A-01W	01
PALAKM_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, MYCN non-amplified	PALAKM	TARGET-30-PALAKM-01A-01W	01
PALBFW_01_Solid Tissue_Primary Tumor	22.9	2	neutral	NBL, MYCN non-amplified	PALBFW	TARGET-30-PALBFW-01A-01D.M	01
PALBFW_01_Solid Tissue_Primary Tumor	22.9	2	neutral	NBL, MYCN non-amplified	PALBFW	TARGET-30-PALBFW-01A-01R	01
PALBFW_01_Solid Tissue_Primary Tumor	22.9	2	neutral	NBL, MYCN non-amplified	PALBFW	TARGET-30-PALBFW-01A-01W	01
PALCBW_01_Solid Tissue_Primary Tumor	3.51	2	loss	NBL, MYCN non-amplified	PALCBW	TARGET-30-PALCBW-01A-01D.M	01
PALCBW_01_Solid Tissue_Primary Tumor	3.51	2	loss	NBL, MYCN non-amplified	PALCBW	TARGET-30-PALCBW-01A-01R	01
PALCBW_01_Solid Tissue_Primary Tumor	3.51	2	loss	NBL, MYCN non-amplified	PALCBW	TARGET-30-PALCBW-01A-01W	01
PALEAC_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PALEAC	TARGET-30-PALEAC-01A-01D.M	01
PALETP_01_Solid Tissue_Primary Tumor	35.31	2	neutral	NBL, MYCN non-amplified	PALETP	TARGET-30-PALETP-01A-01D.M	01
PALETP_01_Solid Tissue_Primary Tumor	35.31	2	neutral	NBL, MYCN non-amplified	PALETP	TARGET-30-PALETP-01A-01R	01
PALETP_01_Solid Tissue_Primary Tumor	35.31	2	neutral	NBL, MYCN non-amplified	PALETP	TARGET-30-PALETP-01A-01W	01
PALEVG_01_Solid Tissue_Primary Tumor	732.82	44	amplification	NBL, MYCN amplified	PALEVG	TARGET-30-PALEVG-01A-01D.M	01
PALEVG_01_Solid Tissue_Primary Tumor	732.82	44	amplification	NBL, MYCN amplified	PALEVG	TARGET-30-PALEVG-01A-01R	01
PALEVG_01_Solid Tissue_Primary Tumor	732.82	44	amplification	NBL, MYCN amplified	PALEVG	TARGET-30-PALEVG-01A-01W	01
PALFPI_01_Solid Tissue_Primary Tumor	NA	3	neutral	NBL, MYCN non-amplified	PALFPI	TARGET-30-PALFPI-01A-01W	01
PALFSE_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PALFSE	TARGET-30-PALFSE-01A-01D.M	01
PALHVD_01_Solid Tissue_Primary Tumor	NA	4	gain	NBL, MYCN non-amplified	PALHVD	TARGET-30-PALHVD-01A-01D.M	01
PALHVD_01_Solid Tissue_Primary Tumor	NA	4	gain	NBL, MYCN non-amplified	PALHVD	TARGET-30-PALHVD-01A-01W	01
PALIIN_01_Solid Tissue_Primary Tumor	55.37	2	loss	NBL, MYCN non-amplified	PALIIN	TARGET-30-PALIIN-01A-01D.M	01
PALIIN_01_Solid Tissue_Primary Tumor	55.37	2	loss	NBL, MYCN non-amplified	PALIIN	TARGET-30-PALIIN-01A-01R	01
PALIIN_01_Solid Tissue_Primary Tumor	55.37	2	loss	NBL, MYCN non-amplified	PALIIN	TARGET-30-PALIIN-01A-01W	01
PALJPX_01_Solid Tissue_Primary Tumor	NA	27	amplification	NBL, MYCN amplified	PALJPX	TARGET-30-PALJPX-01A-01W	01
PALJUV_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, MYCN non-amplified	PALJUV	TARGET-30-PALJUV-01A-01W	01
PALKKV_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PALKKV	TARGET-30-PALKKV-01A-01D.M	01
PALKUC_01_Solid Tissue_Primary Tumor	147.41	NA	NA	NBL, MYCN amplified	PALKUC	TARGET-30-PALKUC-01A-01R	01
PALKXJ_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PALKXJ	TARGET-30-PALKXJ-01A-01D.M	01
PALLJJ_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PALLJJ	TARGET-30-PALLJJ-01A-01D.M	01
PALNLU_01_Solid Tissue_Primary Tumor	NA	3	loss	NBL, MYCN non-amplified	PALNLU	TARGET-30-PALNLU-01A-01W	01
PALNVP_01_Solid Tissue_Primary Tumor	22.36	NA	NA	NBL, MYCN amplified	PALNVP	TARGET-30-PALNVP-01A-01D.M	01
PALNVP_01_Solid Tissue_Primary Tumor	22.36	NA	NA	NBL, MYCN amplified	PALNVP	TARGET-30-PALNVP-01A-01R	01
PALPGG_01_Solid Tissue_Primary Tumor	NA	171	amplification	NBL, MYCN amplified	PALPGG	TARGET-30-PALPGG-01A-01W	01
PALRIA_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PALRIA	TARGET-30-PALRIA-01A-01D.M	01
PALRSD_01_Solid Tissue_Primary Tumor	NA	2	neutral	NBL, MYCN non-amplified	PALRSD	TARGET-30-PALRSD-01A-01D	01
PALSAE_01_Solid Tissue_Primary Tumor	NA	3	neutral	NBL, MYCN non-amplified	PALSAE	TARGET-30-PALSAE-01A-01D.M	01
PALSAE_01_Solid Tissue_Primary Tumor	NA	3	neutral	NBL, MYCN non-amplified	PALSAE	TARGET-30-PALSAE-01A-01W	01
PALTEG_01_Solid Tissue_Primary Tumor	17.22	2	neutral	NBL, MYCN non-amplified	PALTEG	TARGET-30-PALTEG-01A-01R	01
PALTEG_01_Solid Tissue_Primary Tumor	17.22	2	neutral	NBL, MYCN non-amplified	PALTEG	TARGET-30-PALTEG-01A-01W	01
PALTYB_01_Solid Tissue_Primary Tumor	NA	2	neutral	NBL, MYCN non-amplified	PALTYB	TARGET-30-PALTYB-01A-01W	01
PALUDH_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, MYCN non-amplified	PALUDH	TARGET-30-PALUDH-01A-01D.M	01
PALUDH_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, MYCN non-amplified	PALUDH	TARGET-30-PALUDH-01A-01W	01
PALUYS_01_Solid Tissue_Primary Tumor	64.75	NA	NA	NBL, MYCN amplified	PALUYS	TARGET-30-PALUYS-01A-01R	01
PALVKK_01_Solid Tissue_Primary Tumor	11.63	NA	NA	NBL, MYCN non-amplified	PALVKK	TARGET-30-PALVKK-01A-01R	01
PALVUC_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PALVUC	TARGET-30-PALVUC-01A-01D.M	01
PALVVH_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PALVVH	TARGET-30-PALVVH-01A-01D.M	01
PALWIP_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, MYCN non-amplified	PALWIP	TARGET-30-PALWIP-01A-01W	01
PALWVJ_01_Solid Tissue_Primary Tumor	8.86	2	neutral	NBL, MYCN non-amplified	PALWVJ	TARGET-30-PALWVJ-01A-01R	01
PALWVJ_01_Solid Tissue_Primary Tumor	8.86	2	neutral	NBL, MYCN non-amplified	PALWVJ	TARGET-30-PALWVJ-01A-01W	01
PALXHW_01_Solid Tissue_Primary Tumor	NA	3	neutral	NBL, MYCN non-amplified	PALXHW	TARGET-30-PALXHW-01A-01W	01
PALXMM_01_Solid Tissue_Primary Tumor	NA	1	loss	NBL, MYCN non-amplified	PALXMM	TARGET-30-PALXMM-01A-01W	01
PALXTB_01_Solid Tissue_Primary Tumor	35.21	NA	NA	NBL, MYCN amplified	PALXTB	TARGET-30-PALXTB-01A-01D.M	01
PALXTB_01_Solid Tissue_Primary Tumor	35.21	NA	NA	NBL, MYCN amplified	PALXTB	TARGET-30-PALXTB-01A-01R	01
PALZRG_01_Solid Tissue_Primary Tumor	NA	57	amplification	NBL, MYCN amplified	PALZRG	TARGET-30-PALZRG-01A-01D.M	01
PALZRG_01_Solid Tissue_Primary Tumor	NA	57	amplification	NBL, MYCN amplified	PALZRG	TARGET-30-PALZRG-01A-01W	01
PALZSL_01_Solid Tissue_Primary Tumor	NA	69	amplification	NBL, MYCN amplified	PALZSL	TARGET-30-PALZSL-01A-01W	01
PALZZV_01_Solid Tissue_Primary Tumor	818.77	86	amplification	NBL, MYCN amplified	PALZZV	TARGET-30-PALZZV-01A-01D.M	01
PALZZV_01_Solid Tissue_Primary Tumor	818.77	86	amplification	NBL, MYCN amplified	PALZZV	TARGET-30-PALZZV-01A-01R	01
PALZZV_01_Solid Tissue_Primary Tumor	818.77	86	amplification	NBL, MYCN amplified	PALZZV	TARGET-30-PALZZV-01A-01W	01
PAMAFV_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAMAFV	TARGET-30-PAMAFV-01A-01D.M	01
PAMBAC_01_Solid Tissue_Primary Tumor	NA	101	amplification	NBL, MYCN amplified	PAMBAC	TARGET-30-PAMBAC-01A-01W	01
PAMBMJ_01_Solid Tissue_Primary Tumor	71.2	NA	NA	NBL, MYCN amplified	PAMBMJ	TARGET-30-PAMBMJ-01A-01R	01
PAMCXF_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, To be classified	PAMCXF	TARGET-30-PAMCXF-01A-01D.M	01
PAMCXF_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, To be classified	PAMCXF	TARGET-30-PAMCXF-01A-01W	01
PAMDAL_01_Solid Tissue_Primary Tumor	NA	50	amplification	NBL, MYCN amplified	PAMDAL	TARGET-30-PAMDAL-01A-01W	01
PAMEZH_01_Solid Tissue_Primary Tumor	121.89	NA	NA	NBL, MYCN non-amplified	PAMEZH	TARGET-30-PAMEZH-01A-01R	01
PAMLNB_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAMLNB	TARGET-30-PAMLNB-01A-01D.M	01
PAMMWD_01_Solid Tissue_Primary Tumor	NA	260	amplification	NBL, MYCN amplified	PAMMWD	TARGET-30-PAMMWD-01A-01W	01
PAMMXF_01_Solid Tissue_Primary Tumor	482.57	2	neutral	NBL, MYCN amplified	PAMMXF	TARGET-30-PAMMXF-01A-01D.M	01
PAMMXF_01_Solid Tissue_Primary Tumor	482.57	2	neutral	NBL, MYCN amplified	PAMMXF	TARGET-30-PAMMXF-01A-01R	01
PAMMXF_01_Solid Tissue_Primary Tumor	482.57	2	neutral	NBL, MYCN amplified	PAMMXF	TARGET-30-PAMMXF-01A-01W	01
PAMNLH_01_Solid Tissue_Primary Tumor	29.77	NA	NA	NBL, MYCN amplified	PAMNLH	TARGET-30-PAMNLH-01A-01D.M	01
PAMNLH_01_Solid Tissue_Primary Tumor	29.77	NA	NA	NBL, MYCN amplified	PAMNLH	TARGET-30-PAMNLH-01A-01R	01
PAMNYX_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, MYCN non-amplified	PAMNYX	TARGET-30-PAMNYX-01A-01D	01
PAMUTD_01_Solid Tissue_Primary Tumor	NA	55	amplification	NBL, MYCN amplified	PAMUTD	TARGET-30-PAMUTD-01A-01W	01
PAMVLG_01_Solid Tissue_Primary Tumor	NA	3	neutral	NBL, MYCN non-amplified	PAMVLG	TARGET-30-PAMVLG-01A-01D	01
PAMVRA_01_Solid Tissue_Primary Tumor	57.44	2	loss	NBL, MYCN non-amplified	PAMVRA	TARGET-30-PAMVRA-01A-01R	01
PAMVRA_01_Solid Tissue_Primary Tumor	57.44	2	loss	NBL, MYCN non-amplified	PAMVRA	TARGET-30-PAMVRA-01A-01W	01
PAMYCE_01_Solid Tissue_Primary Tumor	24.37	2	loss	NBL, MYCN non-amplified	PAMYCE	TARGET-30-PAMYCE-01A-01D.M	01
PAMYCE_01_Solid Tissue_Primary Tumor	24.37	2	loss	NBL, MYCN non-amplified	PAMYCE	TARGET-30-PAMYCE-01A-01R	01
PAMYCE_01_Solid Tissue_Primary Tumor	24.37	2	loss	NBL, MYCN non-amplified	PAMYCE	TARGET-30-PAMYCE-01A-01W	01
PAMZGT_01_Solid Tissue_Primary Tumor	214.79	23	amplification	NBL, MYCN amplified	PAMZGT	TARGET-30-PAMZGT-01A-01D.M	01
PAMZGT_01_Solid Tissue_Primary Tumor	214.79	23	amplification	NBL, MYCN amplified	PAMZGT	TARGET-30-PAMZGT-01A-01R	01
PAMZGT_01_Solid Tissue_Primary Tumor	214.79	23	amplification	NBL, MYCN amplified	PAMZGT	TARGET-30-PAMZGT-01A-01W	01
PAMZMG_01_Solid Tissue_Primary Tumor	594.01	44	amplification	NBL, MYCN amplified	PAMZMG	TARGET-30-PAMZMG-01A-01D.M	01
PAMZMG_01_Solid Tissue_Primary Tumor	594.01	44	amplification	NBL, MYCN amplified	PAMZMG	TARGET-30-PAMZMG-01A-01R	01
PAMZMG_01_Solid Tissue_Primary Tumor	594.01	44	amplification	NBL, MYCN amplified	PAMZMG	TARGET-30-PAMZMG-01A-01W	01
PAMZMJ_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAMZMJ	TARGET-30-PAMZMJ-01A-01D.M	01
PAMZSH_01_Solid Tissue_Primary Tumor	NA	NA	NA	NBL, To be classified	PAMZSH	TARGET-30-PAMZSH-01A-01D.M	01
PANBCI_01_Solid Tissue_Primary Tumor	NA	28	amplification	NBL, MYCN amplified	PANBCI	TARGET-30-PANBCI-01A-01W	01
PANBJH_01_Solid Tissue_Primary Tumor	81.56	NA	NA	NBL, MYCN amplified	PANBJH	TARGET-30-PANBJH-01A-01R	01
PANBMJ_01_Solid Tissue_Primary Tumor	3.53	2	neutral	NBL, MYCN non-amplified	PANBMJ	TARGET-30-PANBMJ-01A-01D.M	01
PANBMJ_01_Solid Tissue_Primary Tumor	3.53	2	neutral	NBL, MYCN non-amplified	PANBMJ	TARGET-30-PANBMJ-01A-01R	01
PANBMJ_01_Solid Tissue_Primary Tumor	3.53	2	neutral	NBL, MYCN non-amplified	PANBMJ	TARGET-30-PANBMJ-01A-01W	01
PANBSP_01_Solid Tissue_Primary Tumor	45.6	3	neutral	NBL, MYCN non-amplified	PANBSP	TARGET-30-PANBSP-01A-01D.M	01
PANBSP_01_Solid Tissue_Primary Tumor	45.6	3	neutral	NBL, MYCN non-amplified	PANBSP	TARGET-30-PANBSP-01A-01R	01
PANBSP_01_Solid Tissue_Primary Tumor	45.6	3	neutral	NBL, MYCN non-amplified	PANBSP	TARGET-30-PANBSP-01A-01W	01
PANGXK_01_Solid Tissue_Primary Tumor	3.28	NA	NA	NBL, MYCN amplified	PANGXK	TARGET-30-PANGXK-01A-01R	01
PANIPC_06_Solid Tissue_Metastatic	NA	35	amplification	NBL, MYCN amplified	PANIPC	TARGET-30-PANIPC-06A-01W	06
PANJLH_01_Solid Tissue_Primary Tumor	403.51	NA	NA	NBL, MYCN amplified	PANJLH	TARGET-30-PANJLH-01A-01R	01
PANKFE_01_Solid Tissue_Primary Tumor	4.39	2	neutral	NBL, MYCN non-amplified	PANKFE	TARGET-30-PANKFE-01A-01D.M	01
PANKFE_01_Solid Tissue_Primary Tumor	4.39	2	neutral	NBL, MYCN non-amplified	PANKFE	TARGET-30-PANKFE-01A-01R	01
PANKFE_01_Solid Tissue_Primary Tumor	4.39	2	neutral	NBL, MYCN non-amplified	PANKFE	TARGET-30-PANKFE-01A-01W	01
PANLET_01_Solid Tissue_Primary Tumor	31.45	2	loss	NBL, MYCN non-amplified	PANLET	TARGET-30-PANLET-01A-01D	01
PANLET_01_Solid Tissue_Primary Tumor	31.45	2	loss	NBL, MYCN non-amplified	PANLET	TARGET-30-PANLET-01A-01D.M	01
PANLET_01_Solid Tissue_Primary Tumor	31.45	2	loss	NBL, MYCN non-amplified	PANLET	TARGET-30-PANLET-01A-01R	01
PANNMS_01_Solid Tissue_Primary Tumor	73.96	NA	NA	NBL, MYCN amplified	PANNMS	TARGET-30-PANNMS-01A-01D.M	01
PANNMS_01_Solid Tissue_Primary Tumor	73.96	NA	NA	NBL, MYCN amplified	PANNMS	TARGET-30-PANNMS-01A-01R	01
PANPVI_01_Solid Tissue_Primary Tumor	NA	2	loss	NBL, MYCN non-amplified	PANPVI	TARGET-30-PANPVI-01A-01W	01
