harmonized_diagnosis	count	percent
Ganglioneuroblastoma, MYCN-amplified	19	0.14%
High-grade glioma, IDH-mutant	19	0.14%
Low-grade glioma, RTK	19	0.14%
Adenoma	18	0.13%
Atypical Teratoid Rhabdoid Tumor, TYR	18	0.13%
Atypical meningioma	18	0.13%
CNS Embryonal tumor, NEC/NOS	18	0.13%
Low-grade glioma, FGFR	18	0.13%
Ganglioglioma	17	0.12%
Low-grade glioma, NF1-germline	16	0.12%
Myxopapillary ependymoma	16	0.12%
Teratoma	16	0.12%
Ganglioneuroblastoma, intermixed	14	0.1%
Clear Cell Sarcoma of the Kidney	13	0.09%
Germinoma	12	0.09%
Low-grade glioma, BRAF V600E, CDKN2A/B	12	0.09%
Brainstem glioma- Diffuse intrinsic pontine glioma	11	0.08%
Glial-neuronal tumor,  To be classified	11	0.08%
Hemangioblastoma	11	0.08%
Langerhans Cell histiocytosis	11	0.08%
Low-grade glioma, IDH	11	0.08%
Malignant peripheral nerve sheath tumor (MPNST)	11	0.08%
Cavernoma	10	0.07%
Chordoma	9	0.07%
Ganglioglioma, KIAA1549-BRAF	9	0.07%
Glial-neuronal tumor,  FGFR	9	0.07%
Pineoblastoma	9	0.07%
Posterior fossa group B (PFB) ependymoma	9	0.07%
Embryonal tumor with multilayer rosettes, NOS	8	0.06%
Low-grade glioma, KIAA1549-BRAF, RTK	8	0.06%
Low-grade glioma, MYB/MYBL1	8	0.06%
Low-grade glioma, NF1-somatic, NF1-germline	8	0.06%
Metastatic secondary tumors	8	0.06%
Glial-neuronal tumor,  wildtype	7	0.05%
Non-germinomatous germ cell tumor	7	0.05%
Pineoblastoma, Group 1	7	0.05%
Dermoid cyst	6	0.04%
Embryonal tumor with multilayer rosettes, C19MC-altered	6	0.04%
Ganglioglioma, RTK	6	0.04%
Ganglioglioma, other MAPK	6	0.04%
Ganglioneuroma	6	0.04%
Glial-neuronal tumor,  BRAF V600E	6	0.04%
Low-grade glioma, BRAF/MAPK	6	0.04%
Low-grade glioma, NF1-somatic	6	0.04%
Spinal ependymoma	6	0.04%
Subependymal Giant Cell Astrocytoma, wildtype	6	0.04%
Supratentorial ependymoma, YAP1 fusion-positive	6	0.04%
Atypical choroid plexus papilloma	5	0.04%
Glial-neuronal tumor,  RTK	5	0.04%
Infant-type hemispheric glioma, NTRK-altered	5	0.04%
Low-grade glioma, MAPK	5	0.04%
Low-grade glioma, NF1-somatic, FGFR	5	0.04%
Mixed germ cell tumor	5	0.04%
Epidermoid cyst	4	0.03%
Ganglioneuroblastoma	4	0.03%
Ganglioneuroma, maturing subtype OR Ganglioneuroblastoma, well differentiated	4	0.03%
Glial-neuronal tumor,  other MAPK	4	0.03%
Infant-type hemispheric glioma, ROS1-altered	4	0.03%
Low-grade glioma, KIAA1549-BRAF, other MAPK	4	0.03%
Osteoblastoma	4	0.03%
Pineoblastoma, MYC/FOXR2	4	0.03%
Subependymal Giant Cell Astrocytoma	4	0.03%
Subependymal Giant Cell Astrocytoma (SEGA)	4	0.03%
Astrocytoma	3	0.02%
CNS neuroblastoma	3	0.02%
Central neurocytoma	3	0.02%
Extraventricular neurocytoma	3	0.02%
Ganglioglioma, FGFR	3	0.02%
Glial-neuronal tumor,  KIAA1549-BRAF	3	0.02%
Glioma	3	0.02%
Hamartoma	3	0.02%
Juvenile xanthogranuloma	3	0.02%
Low-grade glioma, BRAF V600E, other MAPK	3	0.02%
Low-grade glioma, NF1-germline, CDKN2A/B	3	0.02%
Low-grade glioma, NF1-somatic, NF1-germline, FGFR	3	0.02%
Meningioma;Schwannoma	3	0.02%
Meningothelial meningioma	3	0.02%
Pineoblastoma, Group 2	3	0.02%
Arteriovenous malformation	2	0.01%
CNS Embryonal tumor, HGNET-MN1	2	0.01%
Chondroma	2	0.01%
Chordoma, conventional	2	0.01%
Chordoma, poorly differentiated	2	0.01%
Desmoplastic infantile astrocytoma and ganglioglioma, BRAF V600E	2	0.01%
Diffuse leptomeningeal glioneuronal tumor,  KIAA1549-BRAF	2	0.01%
Ganglioglioma, BRAF V600E, CDKN2A/B	2	0.01%
Ganglioglioma, MAPK	2	0.01%
Ganglioglioma, MYB/MYBL1	2	0.01%
Hemangioma	2	0.01%
Inclusion cyst	2	0.01%
Infant-type hemispheric glioma, ALK-altered	2	0.01%
Inflammatory lesion	2	0.01%
Lipoma	2	0.01%
Low-grade glioma, CDKN2A/B	2	0.01%
Low-grade glioma, KIAA1549-BRAF, FGFR	2	0.01%
Low-grade glioma, NF1-germline, FGFR	2	0.01%
Low-grade glioma, RTK, CDKN2A/B	2	0.01%
Myofibroblastic tumor	2	0.01%
Reactive connective tissue	2	0.01%
Recurrent Glioma	2	0.01%
Rhabdomyosarcoma	2	0.01%
Rosette-forming glioneuronal tumor,  FGFR	2	0.01%
Vascular malformation	2	0.01%
Anaplastic (malignant) meningioma	1	0.01%
Aneurismal bone cyst (abc) with col1a1-usp6 fusion	1	0.01%
Aneurysmal bone cyst (abc)	1	0.01%
Atypical lymphoid infiltrate	1	0.01%
CNS Burkitt's lymphoma	1	0.01%
CNS Melanoma	1	0.01%
Childhood Astrocytic Tumor	1	0.01%
Cholesterol granuloma	1	0.01%
Chondromyxoid fibroma	1	0.01%
Choroid plexus tumor	1	0.01%
Clear cell meningioma	1	0.01%
Congenital malignant brain tumor	1	0.01%
Cranial fasciitis	1	0.01%
Desmoplastic infantile astrocytoma and ganglioglioma, RTK	1	0.01%
Desmoplastic infantile astrocytoma and ganglioglioma, wildtype	1	0.01%
Diffuse fibrillary astrocytoma	1	0.01%
Diffuse leptomeningeal glioneuronal tumor,  MAPK	1	0.01%
Diffuse leptomeningeal glioneuronal tumor,  To be classified	1	0.01%
Diffuse midline glioma, H3 K28-altered (EGFR mutant)	1	0.01%
Diffuse midline glioma, H3 K28-mutant	1	0.01%
Dysembryoplastic neuroepithelial tumor (DNET);Dysplasia/Gliosis;Ganglioglioma	1	0.01%
Dysembryoplastic neuroepithelial tumor (DNET);Ganglioglioma	1	0.01%
Ependymoma;Metastatic secondary tumors	1	0.01%
Epilepsy, chronic rasmussen encephalitis	1	0.01%
Epstein-Barr virus-related tumor	1	0.01%
Familial adenomatous polyposis	1	0.01%
Fibroma	1	0.01%
Fibromixoid lesion	1	0.01%
Ganglioglioma, H3	1	0.01%
Ganglioglioma, IDH	1	0.01%
Ganglioglioma, NF1-germline	1	0.01%
Ganglioglioma, NF1-somatic, BRAF V600E	1	0.01%
Ganglioglioma, RTK, BRAF V600E	1	0.01%
Ganglioglioma, RTK, FGFR	1	0.01%
Ganglioglioma, other MAPK, BRAF V600E	1	0.01%
Ganglioglioma, other MAPK, IDH	1	0.01%
Germ Cell Tumor	1	0.01%
Giant cell tumor of bone	1	0.01%
Glial-neuronal tumor,  H3	1	0.01%
Glial-neuronal tumor,  NF1-somatic	1	0.01%
Glial-neuronal tumor,  NF1-somatic, FGFR	1	0.01%
Glial-neuronal tumor,  RTK, CDKN2A/B	1	0.01%
Glial-neuronal tumor,  other MAPK, CDKN2A/B	1	0.01%
Glial-neuronal tumor, wildtype	1	0.01%
Glioblastoma Multiforme Pathway	1	0.01%
Gliomatosis Cerebri;High-grade glioma/astrocytoma (WHO grade III/IV)	1	0.01%
Gliosis	1	0.01%
Hematoma	1	0.01%
High-grade glioma/astrocytoma (WHO grade III/IV);Oligodendroglioma	1	0.01%
High-grade neuroepithelial tumor	1	0.01%
Histiocytic Tumor	1	0.01%
Histiocytic tumor	1	0.01%
Hypophyseal stalk thickening	1	0.01%
Infant-type hemispheric glioma	1	0.01%
Intraneural perineuroma	1	0.01%
Lipoblastoma	1	0.01%
Lipomyelomeningocele	1	0.01%
Low-grade glioma, FGFR, NF1-germline	1	0.01%
Low-grade glioma, FGFR, NF1-somatic	1	0.01%
Low-grade glioma, KIAA1549-BRAF, BRAF V600E	1	0.01%
Low-grade glioma, KIAA1549-BRAF, CDKN2A/B	1	0.01%
Low-grade glioma, MYB/MYBL1, other MAPK	1	0.01%
Low-grade glioma, NF1-germline, BRAF V600E	1	0.01%
Low-grade glioma, NF1-germline, RTK, FGFR	1	0.01%
Low-grade glioma, NF1-germline, other MAPK	1	0.01%
Low-grade glioma, NF1-somatic, IDH	1	0.01%
Low-grade glioma, NF1-somatic, NF1-germline, CDKN2A/B	1	0.01%
Low-grade glioma, NF1-somatic, RTK	1	0.01%
Low-grade glioma, RTK, BRAF V600E	1	0.01%
Low-grade glioma, other MAPK, CDKN2A/B	1	0.01%
Low-grade glioma, other MAPK, H3	1	0.01%
Low-grade glioma, other MAPK, IDH	1	0.01%
Malignant peripheral nerve sheath tumor (MPNST);Neurofibroma/Plexiform	1	0.01%
Melanocytoma	1	0.01%
Meningioma;Neurofibroma/Plexiform	1	0.01%
Mesenchymal tumor	1	0.01%
Myofibroma	1	0.01%
Myxoid spindle cell tumor	1	0.01%
Necrotizing myelopathy	1	0.01%
Neuroepithelial neoplasm with EWSR1--PLAG1 fusion	1	0.01%
Neurofibroma/Plexiform;Schwannoma	1	0.01%
Non-germinomatous germ cell tumor;Teratoma	1	0.01%
Ossifying fibroma	1	0.01%
Osteoma	1	0.01%
Other	1	0.01%
Perineuroma	1	0.01%
Pilomatricoma	1	0.01%
Posterior fossa subependymoma	1	0.01%
Rosai-dorfman	1	0.01%
Rosette-forming glioneuronal tumor,  other MAPK, FGFR	1	0.01%
Spinal Cord Neoplasm	1	0.01%
Spinal ependymoma, MYCN-amplified	1	0.01%
Spinal subependymoma	1	0.01%
